Primary Street,1st Cross Street,2nd Cross Street,Co1,Co2,2011,2012,2013,2014,2015
EL CAJON BLVD,ROLANDO BLVD,MONTEZUMA RD,"(32.7669411, -117.0573397)","(32.7683114, -117.0542067)",18600,18600,18000,18000,18000
EL CAJON BLVD,MONTEZUMA RD,70TH ST,"(32.7683114, -117.0542067)","(32.7686461, -117.0469864)",20500,20500,22000,22000,22000
EL CAJON BLVD,70TH ST,HARBINSON AVE,"(32.7686461, -117.0469864)","(32.7688405, -117.0413615)",17100,17100,17000,17000,17000
EL CAMINO REAL,CITY LIMIT,VIA DE LA VALLE,"(32.983226, -117.226753)","(32.9827049, -117.2305015)",3500,3500,4800,4800,4800
EL CAMINO REAL,VIA DE LA VALLE,HALF MILE DR,"(32.9827049, -117.2305015)","(32.9620026, -117.2342124)",15100,13100,13100,14400,16700
EL CAMINO REAL,HALF MILE DR,QUARTER MILE DR,"(32.9620026, -117.2342124)","(32.9566722, -117.2344131)",12600,12600,12600,17900,17900
EL CAMINO REAL,QUARTER MILE DR,DEL MAR HEIGHTS RD,"(32.9566722, -117.2344131)","(32.9537787, -117.2339629)",14300,14300,14500,13900,15600
EL CAMINO REAL,DEL MAR HEIGHTS RD,HIGH BLUFF DR,"(32.9537787, -117.2339629)","(32.9438365, -117.2393526)",16900,16900,18100,18100,18100
EL CAMINO REAL,HIGH BLUFF DR,VALLEY CENTRE DR,"(32.9438365, -117.2393526)","(32.9360404, -117.2378993)",19600,19600,19600,18900,18400
EL CAMINO REAL,VALLEY CENTRE DR,CARMEL VALLEY RD/ROUTE 56,"(32.9360404, -117.2378993)","(32.933958, -117.2365199)",27400,27400,27400,26900,25600
EL CAMINO REAL,ROUTE 56,CARMEL MOUNTAIN RD,"(32.9321586, -117.2364096)","(32.9222272, -117.228553)",15800,15800,15800,16300,16300
EL PRADO/PAN AMERICAN RD,6TH AVE,PRESIDENTS WAY,"(0, 0)","(0, 0)",5900,6200,6200,6200,7600
ELM AVE,13TH ST,SATURN BLVD,"(32.5806595, -117.1056911)","(32.5806379, -117.0926795)",3300,3800,3100,3700,3700
ELM ST,1ST AVE,4TH AVE,"(32.7240439, -117.1638834)","(32.724075, -117.1611481)",6400,6600,6600,6600,5800
ELM ST,4TH AVE,6TH AVE,"(32.724075, -117.1611481)","(32.7240678, -117.159453)",9100,7600,7600,6300,6600
ENGINEER RD,RUFFNER ST,CONVOY ST,"(32.8272019, -117.1580718)","(32.8267939, -117.1543599)",3700,3700,3700,3700,3700
ENGINEER RD,CONVOY ST,MERCURY ST,"(32.8267939, -117.1543599)","(32.8247819, -117.1489636)",3900,4200,4200,4200,4200
ENGINEER RD,MERCURY ST,KEARNY MESA RD,"(32.8247819, -117.1489636)","(32.8245997, -117.1459415)",5000,4400,4400,4400,4400
ENRICO FERMI DR,AIRWAY RD,SIEMPRE VIVA RD,"(32.5600293, -116.9278371)","(32.5568434, -116.9278396)",4600,4600,4600,4900,4900
ENTERPRISE ST,SPORTS ARENA BLVD,MIDWAY DR,"(32.7431431, -117.2101025)","(32.7455322, -117.1993268)",5100,5100,5100,4000,4000
ESCALA DR,BERNARDO CENTER DR,POMERADO RD,"(33.0323102, -117.0754998)","(33.0444705, -117.0651323)",3400,3400,3400,3600,3600
EUCLID AVE,ADAMS AVE,MONROE AVE,"(32.7619631, -117.0911928)","(32.7590321, -117.0920838)",2900,2900,2800,2800,2800
EUCLID AVE,MONROE AVE,EL CAJON BLVD,"(32.7590321, -117.0920838)","(32.7560626, -117.0922059)",10100,10100,6900,6900,6900
EUCLID AVE,EL CAJON BLVD,ORANGE AVE,"(32.7560626, -117.0922059)","(32.7531147, -117.0922443)",12000,12000,7500,7500,7500
EUCLID AVE,ORANGE AVE,UNIVERSITY AVE,"(32.7531147, -117.0922443)","(32.7495499, -117.0923034)",10300,10300,9800,9800,9800
EUCLID AVE,UNIVERSITY AVE,WIGHTMAN ST,"(32.7495499, -117.0923034)","(32.747377, -117.0923075)",14600,14600,12200,12200,12200
EUCLID AVE,WIGHTMAN ST,HOME AVE,"(32.747377, -117.0923075)","(32.7371064, -117.0922623)",12200,12200,12200,12200,12200
EUCLID AVE,HOME AVE,54TH ST,"(32.7371064, -117.0922623)","(32.723449, -117.0848485)",8300,8300,8300,6200,6200
EUCLID AVE,54TH ST,FEDERAL BLVD,"(32.723449, -117.0848485)","(32.72141, -117.0850014)",30900,26300,26400,26400,32700
EUCLID AVE,FEDERAL BLVD,ROUTE 94,"(32.72141, -117.0850014)","(32.7192517, -117.0848033)",34200,35100,35500,35500,40100
EUCLID AVE,ROUTE 94,MARKET ST,"(32.7192517, -117.0848033)","(32.7104587, -117.084947)",26700,25500,25400,25400,29300
EUCLID AVE,MARKET ST,IMPERIAL AVE,"(32.7104587, -117.084947)","(32.7044475, -117.0850677)",17700,17700,17600,22400,22400
EUCLID AVE,IMPERIAL AVE,LOGAN AVE,"(32.7044475, -117.0850677)","(32.6967457, -117.0851619)",11400,11000,11000,13200,12000
EUCLID AVE,LOGAN AVE,CERVANTES AVE,"(32.6967457, -117.0851619)","(32.6923737, -117.0851209)",10400,10400,10400,10400,12500
EVENING CREEK DR E,SABRE SPRINGS PKWY,MORNING CREEK DR N,"(32.9620196, -117.0919615)","(32.9583807, -117.0903263)",3400,3400,3400,3400,3400
EVENING CREEK DR N,SABRE SPRINGS PKWY,SABRE HILL DR,"(32.9621011, -117.092091)","(32.9552017, -117.0986082)",3400,3400,3400,3400,3400
EVENING CREEK RD S,SABRE HILL DR,SABRE SPRINGS PKWY,"(32.9552017, -117.0986082)","(32.9528247, -117.0972939)",3300,3300,3300,3300,3300
EXCHANGE PL,TORREY PINES RD,COUNTRY FAIRWAY RD,"(32.6716013,-117.0621614)","(32.844786, -117.267026)",2400,2400,2400,2400,2400
EXECUTIVE DR,REGENTS RD,GENESEE AVE,"(32.8751397, -117.2182601)","(32.8751161, -117.2141479)",3700,3700,3700,3400,3400
EXECUTIVE DR,GENESEE DR,EXECUTIVE WAY,"(32.8751161, -117.2141479)","(32.8755893, -117.2101494)",7300,7300,7300,6700,6700
EXECUTIVE DR,EXECUTIVE WAY,TOWNE CENTRE DR,"(32.8755893, -117.2101494)","(32.8767479, -117.2074688)",5500,5500,5500,5500,5500
EXECUTIVE WAY,EXECUTIVE DR,LA JOLLA VILLAGE RD,"(32.8760918, -117.2097153)","(32.8737755, -117.2097834)",4300,4300,4300,4700,4700
F ST,PACIFIC HWY,KETTNER BLVD,"(32.7135563, -117.1711351)","(32.7412564, -117.1816995)",800,800,500,500,500
F ST,4TH AVE,5TH AVE,"(32.7136145, -117.1610581)","(32.7136224, -117.160169)",7100,7300,7300,7300,7300
F ST,5TH AVE,8TH AVE,"(32.7136224, -117.160169)","(32.7136324, -117.1574186)",16600,14800,14800,10900,10900
F ST,8TH AVE,10TH AVE,"(32.7136324, -117.1574186)","(32.7136316, -117.1555899)",13500,13500,13500,10400,10400
F ST,10TH AVE,11TH AVE,"(32.7136316, -117.1555899)","(32.7136317, -117.1546731)",13300,13300,13300,13300,13300
F ST,11TH AVE,PARK BLVD,"(32.7136317, -117.1546731)","(32.7136532, -117.1538432)",14900,14900,14900,14900,14900
F ST,PARK BLVD,16TH ST,"(32.7136532, -117.1538432)","(32.7136686, -117.1494757)",16700,16700,15100,18600,18600
F ST,16TH ST,17TH ST,"(32.7136686, -117.1494757)","(32.7136851, -117.1485822)",19100,19100,19100,11500,12200
F ST (RT 94 RAMP),17TH ST,INTERSTATE 5,"(32.7136851, -117.1485822)","(32.6716013,-117.0621614)",23100,23100,23100,24900,24900
FAIRBROOK RD,POMERADO RD,SEMILLON BLVD,"(32.9077811, -117.0765176)","(32.9107496, -117.0633252)",3900,3600,3600,3600,3800
FAIRMOUNT AVE,SAN DIEGO MISSION RD,MISSION GORGE RD,"(32.785023, -117.101517)","(32.7812987, -117.1013513)",6500,6600,6600,6600,7400
FAIRMOUNT AVE,MISSION GORGE RD,INTERSTATE 8,"(32.7812987, -117.1013513)","(32.7802418, -117.1124029)",39100,39100,39100,39100,39100
FAIRMOUNT AVE,INTERSTATE 8,CAMINO DEL RIO SOUTH,"(32.7802418, -117.1124029)","(32.780156, -117.101638)",86400,86400,86400,86400,86400
FAIRMOUNT AVE,CAMINO DEL RIO SOUTH,MONTEZUMA RD,"(32.780156, -117.101638)","(32.7754952, -117.0988545)",66100,66100,79900,79900,79900
FAIRMOUNT AVE,MONTEZUMA RD,ALDINE DR,"(32.7754952, -117.0988545)","(32.7633902, -117.0974815)",35600,35600,35600,35600,35600
FAIRMOUNT AVE,ALDINE DR,MEADE AVE,"(32.7633902, -117.0974815)","(32.7570954, -117.1008285)",16800,16800,16800,16800,16800
FAIRMOUNT AVE,MEADE AVE,EL CAJON BLVD,"(32.7570954, -117.1008285)","(32.7551936, -117.1008364)",7300,7900,7900,7900,7400
FAIRMOUNT AVE,EL CAJON BLVD,ORANGE AVE,"(32.7551936, -117.1008364)","(32.7531794, -117.1008806)",12800,11100,10700,10700,11400
FAIRMOUNT AVE,ORANGE AVE,UNIVERSITY AVE,"(32.7531794, -117.1008806)","(32.7496281, -117.1009186)",11900,11900,12400,12400,12400
FAIRMOUNT AVE,UNIVERSITY AVE,WIGHTMAN ST,"(32.7496281, -117.1009186)","(32.7478964, -117.1009288)",14400,14400,13500,13500,13500
FAIRMOUNT AVE,WIGHTMAN ST,THORN ST,"(32.7478964, -117.1009288)","(32.7402725, -117.1009304)",13100,14100,13100,13100,11100
FAIRMOUNT AVE,THORN ST,POPLAR ST,"(32.7402725, -117.1009304)","(32.7384358, -117.1009263)",17900,17900,18200,18200,18200
FAIRMOUNT AVE,POPLAR ST,HOME AVE,"(32.7384358, -117.1009263)","(32.728833, -117.0996677)",17700,17700,19200,17500,19000
FAIRMOUNT AVE/47TH ST,HOME AVE,FEDERAL BLVD,"(32.7348141, -117.0934152)","(32.7214692, -117.0935437)",9800,9800,6300,11000,11000
FAMOSA BLVD,NIMITZ BLVD,VALETA ST,"(32.7446425, -117.2335069)","(32.7475453, -117.2293716)",7400,7400,7700,7700,10000
FANUEL ST,ALTA LA JOLLA DR,TURQUOISE ST,"(32.7914337, -117.2443126)","(32.8105918, -117.2500241)",6500,5900,5900,5900,3600
FANUEL ST,TURQUOISE ST,LORING ST,"(32.8105918, -117.2500241)","(32.806976, -117.248932)",3000,3000,3000,3000,3000
FANUEL ST,LORING ST,GARNET AVE,"(32.806976, -117.248932)","(32.798569, -117.246361)",3900,3900,3900,3800,3500
FANUEL ST,GARNET AVE,GRAND AVE,"(32.798569, -117.246361)","(32.7967323, -117.2457938)",6700,6700,5500,5500,5500
FANUEL ST,GRAND AVE,PACIFIC BEACH DR,"(32.7967323, -117.2457938)","(32.7929629, -117.2446152)",4000,4000,4000,4000,3900
FASHION VALLEY RD,HOTEL CIRCLE NORTH,FRIARS RD,"(32.7611094, -117.1691962)","(32.7687723, -117.1716651)",10700,10700,10700,10700,10700
FATHER JUNIPERO SERRA TR,MISSION GORGE RD,MISSION GORGE RD,"(32.8177543, -117.0560747)","(32.8177543, -117.0560747)",2300,2300,2300,3100,3100
FAY AVE,PROSPECT ST,PEARL ST,"(32.8464132, -117.2757293)","(32.8402314, -117.2737317)",4300,4300,4300,4300,4300
FAY AVE,PEARL ST,WEST MUIRLANDS DR,"(32.8402314, -117.2737317)","(32.8350795, -117.2720389)",8900,8900,8900,8300,7300
FAY AVE,WEST MUIRLANDS DR,NAUTILUS ST,"(32.8350795, -117.2720389)","(32.8327563, -117.271291)",7500,7500,7500,7500,7500
FEDERAL BLVD,HOME AVE,47TH ST,"(32.7195786, -117.1103727)","(32.7214692, -117.0935437)",3100,3100,3100,3100,3100
FEDERAL BLVD,47TH ST,EUCLID AVE,"(32.7214692, -117.0935437)","(32.72141, -117.0850014)",10300,10500,10500,10500,9200
FEDERAL/BAYVIEW HTS,EUCLID AVE,ROUTE 94,"(32.7233376, -117.0856204)","(32.72149960000001, -117.082632)",10000,8000,8000,8000,8600
FEDERAL BLVD (RT94 RAMP),ROUTE 94,60TH ST,"(0, 0)","(0, 0)",18600,18600,18600,18600,18600
FEDERAL BLVD,60TH ST,MALLARD ST,"(0, 0)","(0, 0)",17200,17200,17200,17200,17200
FEDERAL BLVD,MALLARD ST,MACARTHUR DR,"(0, 0)","(0, 0)",11000,10900,10900,10900,9700
FELSPAR ST,FANUEL ST,INGRAHAM ST,"(32.7995024, -117.2466365)","(32.800713, -117.24115)",4400,4400,4400,3300,3300
FERN ST,JUNIPER ST,GRAPE ST,"(32.7296526, -117.129589)","(32.7265601, -117.1295893)",7400,7400,7300,7300,7300
FERN ST,GRAPE ST,A ST,"(32.7265601, -117.1295893)","(32.719001, -117.1294434)",8900,8100,8600,8600,9100
FIELD ST,COWLEY WY,FAIRFIELD ST,"(32.79343, -117.191673)","(32.7914793, -117.1958002)",7900,7900,7900,7900,7900
FLANDERS DR,MIRA MESA BLVD,CAMINO SANTA FE,"(32.9066402, -117.1771244)","(32.9051155, -117.1708796)",6400,7500,7500,7500,7600
FLANDERS DR,CAMINO SANTA FE,PARKDALE AVE,"(32.9051155, -117.1708796)","(32.9067373, -117.1544271)",8500,8500,10500,10500,11300
FLANDERS DR,PARKDALE AVE,CAMINO RUIZ,"(32.9067373, -117.1544271)","(32.9068396, -117.1458945)",4100,4100,4100,3800,3800
FLORIDA ST,EL CAJON BLVD,UNIVERSITY AVE,"(32.7552016, -117.1437718)","(32.7484214, -117.1437388)",3700,3600,3200,4800,4100
FLORIDA ST,UNIVERSITY AVE,ROBINSON AVE,"(32.7484214, -117.1437388)","(32.7464305, -117.1437273)",5500,5500,5800,5800,5800
FLORIDA ST,ROBINSON AVE,MORLEY FIELD DR,"(32.7464305, -117.1437273)","(32.739786, -117.1437069)",5100,5100,5100,6800,6800
FLORIDA DR,MORLEY FIELD DR,ZOO PL,"(32.739786, -117.1437069)","(32.7304011, -117.1430239)",7600,7600,7800,7800,7800
FLORIDA DR,ZOO PL,PERSHING DR,"(32.7304011, -117.1430239)","(32.722789, -117.1426546)",20100,22600,22600,11900,22200
FONTAINE ST,PRINCESS VIEW DR,CONESTOGA WAY,"(32.8017964, -117.0780408)","(32.8018293, -117.0766065)",2700,2700,2700,2700,2700
FONTAINE ST,CONESTOGA WAY,MARGERUM WAY,"(32.8018293, -117.0766065)","(32.8017716, -117.0667247)",2600,2600,2600,800,800
FOOTHILL BLVD,BERYL ST,LORING ST,"(32.8063005, -117.2429102)","(32.807835, -117.245773)",23300,23300,23300,20400,21400
FOOTHILL BLVD,LORING ST,TURQUOISE ST,"(32.807835, -117.245773)","(32.8105918, -117.2500241)",17500,15800,15800,15800,17100
FORT STOCKTON DR/ARISTA,PRESIDIO DR,LEWIS ST,"(0, 0)","(0, 0)",2100,2100,2100,2100,2100
FORT STOCKTON DR,LEWIS ST,SUNSET BLVD,"(32.7516963, -117.1802129)","(32.7512278, -117.179598)",1900,1900,2000,2000,2000
FORT STOCKTON DR,SUNSET BLVD,HAWK ST,"(32.7512278, -117.179598)","(32.7508659, -117.1723027)",4600,4600,4200,4200,4200
FORT STOCKTON DR,HAWK ST,GOLDFINCH ST,"(32.7508659, -117.1723027)","(32.7508739, -117.1713901)",8500,9700,9700,9700,7600
FORT STOCKTON DR,GOLDFINCH ST,FALCON ST,"(32.7508739, -117.1713901)","(32.7508798, -117.1704916)",2900,2700,2700,2700,2700
FRAZEE RD,MURRAY CANYON RD,FRIARS RD,"(32.774277, -117.1592973)","(32.7725717, -117.1573225)",8400,8400,8300,8300,8300
FRAZEE RD,FRIARS RD,HAZARD CENTER DR,"(32.7725717, -117.1573225)","(32.7708939, -117.1561674)",17200,17200,17200,11500,11500
FRIARS RD,SEA WORLD DR,INTERSTATE 5,"(32.763422, -117.2095979)","(32.7602477, -117.1962504)",10900,10900,10900,11700,12800
FRIARS RD,INTERSTATE 5,PACIFIC HWY,"(32.7602477, -117.1962504)","(32.7601026, -117.2026098)",10900,10900,10900,10900,10900
FRIARS RD,PACIFIC HWY,MORENA BLVD,"(32.7601026, -117.2026098)","(32.7606416, -117.1978606)",10900,12700,12700,12700,12700
FRIARS RD,MORENA BLVD,NAPA ST,"(32.7606416, -117.1978606)","(32.7634348, -117.1951774)",10900,12700,12700,12700,12700
FRIARS RD,NAPA ST,VIA LAS CUMBRES,"(32.7634348, -117.1951774)","(32.7662296, -117.1836543)",17100,17100,17100,16500,16500
FRIARS RD,VIA LAS CUMBRES,FASHION VALLEY RD,"(32.7662296, -117.1836543)","(32.7687723, -117.1716651)",23800,23800,23800,23800,23800
FRIARS RD,FASHION VALLEY RD,ULRIC ST,"(32.7687723, -117.1716651)","(32.7707617, -117.162795)",43600,45400,45400,45400,45400
FRIARS RD,ULRIC ST,ROUTE 163,"(32.7707617, -117.162795)","(32.7645549, -117.1584426)",56500,56200,52100,52100,52100
FRIARS RD,ROUTE 163,MISSION CENTER RD,"(32.7645549, -117.1584426)","(32.7779053, -117.1548776)",33300,33300,33300,37400,37200
FRIARS RD,MISSION CENTER RD,QUALCOMM WAY,"(32.7779053, -117.1548776)","(32.7857254, -117.1249607)",41200,41200,32200,32200,32200
FRIARS RD,QUALCOMM WAY,INTERSTATE 805,"(32.7857254, -117.1249607)","(32.7709394, -117.1300133)",39900,39900,39900,39900,39900
FRIARS RD,INTERSTATE 805,MISSION VILLAGE DR,"(32.7709394, -117.1300133)","(32.7864045, -117.122248)",37200,34100,32300,32300,34600
FRIARS RD,MISSION VILLAGE DR,INTERSTATE 15,"(32.7864045, -117.122248)","(32.7874331, -117.1148078)",38700,38700,38700,36600,36600
FRIARS RD,INTERSTATE 15,SANTO RD,"(32.7874331, -117.1148078)","(32.7902888, -117.1051447)",55400,56000,56000,45500,47800
FRIARS RD,SANTO RD,MISSION GORGE RD,"(32.7902888, -117.1051447)","(32.7914066, -117.0980755)",46900,42300,42300,42300,46600
FRONT ST,DICKINSON ST,WASHINGTON ST,"(32.7552116, -117.1650017)","(32.7499548, -117.1650448)",4700,4700,4700,4700,4700
FRONT ST,DATE ST,ASH ST,"(32.7229107, -117.1647678)","(32.7198757, -117.1647732)",15900,15900,14100,14100,14100
FRONT ST,ASH ST,A ST,"(32.7198757, -117.1647732)","(32.7188165, -117.1647432)",12100,14800,14800,14800,14800
FRONT ST,A ST,BROADWAY,"(32.7188165, -117.1647432)","(32.7157546, -117.164713)",11400,11400,11400,12900,12900
FRONT ST,BROADWAY,MARKET ST,"(32.7157546, -117.164713)","(32.7115173, -117.1646862)",8100,8100,8100,10800,10800
FRONT ST,MARKET ST,HARBOR DR,"(32.7115173, -117.1646862)","(32.7094358, -117.165071)",3300,4400,4400,5900,3100
FROST ST,HEALTH CENTER DR,BERGER AVE/CHILDRENS WAY,"(32.8002725, -117.155331)","(32.8002422, -117.1510893)",11500,11500,11500,8200,8200
G ST,PACIFIC HWY,KETTNER BLVD,"(32.7125339, -117.1711418)","(32.7125448, -117.1692214)",3800,3800,3800,2700,2700
G ST,KETTNER BLVD,INDIA ST,"(32.7125448, -117.1692214)","(32.712552, -117.1682893)",5000,5000,5000,3000,3000
G ST,INDIA ST,FRONT ST,"(32.712552, -117.1682893)","(32.7125584, -117.1646932)",4700,4700,3300,3300,3300
G ST,FRONT ST,4TH AVE,"(32.7125584, -117.1646932)","(32.7125789, -117.1610627)",7200,7200,7200,6200,6200
G ST,4TH AVE,5TH AVE,"(32.7125789, -117.1610627)","(32.7125731, -117.1601578)",11100,12600,12600,12600,12600
G ST,5TH AVE,8TH AVE,"(32.7125731, -117.1601578)","(32.7125811, -117.15741)",12300,12300,12300,10100,10100
G ST,8TH AVE,10TH AVE,"(32.7125811, -117.15741)","(32.7125937, -117.1555993)",15000,15000,15000,11800,11800
G ST,10TH AVE,11TH AVE,"(32.7125937, -117.1555993)","(32.7125893, -117.1546773)",18300,17700,17700,12000,12000
G ST,11TH AVE,PARK BLVD,"(32.7125893, -117.1546773)","(32.7126129, -117.1538472)",16000,16700,16700,17200,17200
G ST,PARK BLVD,16TH ST,"(32.7126129, -117.1538472)","(32.7126378, -117.1494626)",19800,19800,19800,19800,19800
G ST,16TH ST,17TH ST,"(32.7126378, -117.1494626)","(32.712644, -117.1485776)",20900,21600,21600,21600,21600
G ST(RT 94 RAMP),17TH ST,INTERSTATE 5,"(0, 0)","(0, 0)",23300,23300,23300,22000,22000
G ST,19TH ST,22ND ST,"(32.7126106, -117.1466897)","(32.7126573, -117.1439949)",3600,3600,4600,4600,4600
GALVIN AVE,BLACK MOUNTAIN RD,WESTVIEW PKWY,"(32.9204807, -117.1250044)","(32.9201139, -117.119941)",3100,3100,3100,3300,3500
GARNET AVE,MISSION BLVD,CASS ST,"(32.7965613, -117.2554747)","(32.7973659, -117.251828)",13000,13000,13000,7600,7600
GARNET AVE,CASS ST,FANUEL ST,"(32.7973659, -117.251828)","(32.798569, -117.246361)",19300,20400,20400,8900,7600
GARNET AVE,FANUEL ST,INGRAHAM ST,"(32.798569, -117.246361)","(32.799793, -117.240852)",22600,20700,20900,19900,18900
GARNET AVE,INGRAHAM ST,LAMONT ST,"(32.799793, -117.240852)","(32.800999, -117.235336)",26400,26200,26200,32500,25400
GARNET AVE,LAMONT ST,BALBOA AVE,"(32.800999, -117.235336)","(32.8028898, -117.2265867)",34500,29000,26400,26400,28600
GARNET AVE,BALBOA AVE,SOLEDAD MOUNTAIN RD,"(32.8028898, -117.2265867)","(32.8048652, -117.2238697)",43300,43300,43300,43300,43300
GARNET AVE,SOLEDAD MOUNTAIN RD,MISSION BAY DR,"(32.8048652, -117.2238697)","(32.8061675, -117.2189142)",53000,60900,60900,62400,55300
GARNET AVE,MISSION BAY DR,INTERSTATE 5,"(32.8061675, -117.2189142)","(32.8054132, -117.2142648)",35400,35400,35400,50800,44700
GARRISON ST,ROSECRANS ST,CHATSWORTH BLVD,"(32.7255862, -117.2283829)","(32.7326478, -117.2351934)",1500,1500,1500,1500,1500
GATEWAY DR/MIDVALE/RALENE,HOME AVE,INTERSTATE 805,"(0, 0)","(0, 0)",5100,5100,5100,4900,4900
GEMINI AVE,PEGASUS AVE,BLACK MOUNTAIN RD,"(32.9192557, -117.12759)","(32.9193162, -117.1251136)",7200,7200,8500,8500,8500
GENESEE AVE,TORREY PINES RD,INTERSTATE 5,"(32.8918874, -117.2401547)","(32.8892676, -117.2270763)",37100,37700,37700,37700,42600
GENESEE AVE,INTERSTATE 5,CAMPUS POINT DR,"(32.8892676, -117.2270763)","(32.882127, -117.2201356)",34900,34900,28700,28700,28700
GENESEE AVE,CAMPUS POINT DR,REGENTS RD,"(32.882127, -117.2201356)","(32.8809782, -117.2180923)",26500,26500,26500,32800,32800
GENESEE AVE,REGENTS RD,EASTGATE MALL,"(32.8809782, -117.2180923)","(32.877602, -117.2139483)",31400,31400,31400,29900,29900
GENESEE AVE,EASTGATE MALL,LA JOLLA VILLAGE DR,"(32.877602, -117.2139483)","(32.8724522, -117.2141439)",24600,27000,27000,26100,24300
GENESEE AVE,LA JOLLA VILLAGE DR,NOBEL DR,"(32.8724522, -117.2141439)","(32.8669297, -117.2134939)",39700,24600,24600,28300,20600
GENESEE AVE,NOBEL DR,GOVERNOR DR,"(32.8669297, -117.2134939)","(32.8545555, -117.2046441)",24400,29400,32800,28200,31700
GENESEE AVE,GOVERNOR DR,ROUTE 52,"(32.8545555, -117.2046441)","(32.8453996, -117.1989832)",28700,28700,29200,28900,28900
GENESEE AVE,ROUTE 52,CLAIREMONT MESA BLVD,"(32.8453996, -117.1989832)","(32.8344171, -117.1948719)",28600,28600,28600,30000,30000
GENESEE AVE,CLAIREMONT MESA BLVD,CHATEAU DR,"(32.8344171, -117.1948719)","(32.82860429999999, -117.1933197)",26200,26200,26200,22800,25800
GENESEE AVE,CHATEAU DR,MT HERBERT AVE,"(32.82860429999999, -117.1933197)","(32.8264269, -117.1906465)",24300,24300,28300,28300,28300
GENESEE AVE,MT HERBERT AVE,DERRICK DR,"(32.8264269, -117.1906465)","(32.8229444, -117.1839486)",22300,22300,29000,29000,29000
GENESEE AVE,DERRICK DR,MT ETNA DR,"(32.8229444, -117.1839486)","(32.8213843, -117.1828927)",27200,26100,26100,26100,26100
GENESEE AVE,MT ETNA DR,BALBOA AVE,"(32.8213843, -117.1828927)","(32.8193015, -117.1818048)",31500,27900,27900,27900,30100
GENESEE AVE,BALBOA AVE,MT ALIFAN DR,"(32.8193015, -117.1818048)","(32.8172788, -117.1807828)",30300,30300,30300,21300,24700
GENESEE AVE,MT ALIFAN DR,MARLESTA DR,"(32.8172788, -117.1807828)","(32.8049404, -117.1752608)",23900,23400,23400,20500,23600
GENESEE AVE,MARLESTA DR,LINDA VISTA RD,"(32.8049404, -117.1752608)","(32.7915616, -117.1659845)",20900,20700,17700,21400,24600
GENESEE AVE,LINDA VISTA RD,ROUTE 163,"(32.7915616, -117.1659845)","(32.7917695, -117.1592819)",36100,36100,36100,28900,31000
GENESEE AVE,ROUTE 163,HEALTH CENTER DR,"(32.7917695, -117.1592819)","(32.7926593, -117.1563583)",21500,23100,23100,23100,23600
GENTER ST,FAY AVE,GIRARD AVE,"(32.837181, -117.272728)","(32.8375939, -117.271544)",22500,22500,5800,5800,5800
GILMAN DR,LA JOLLA VILLAGE DR,VILLA LA JOLLA DR,"(32.8720374, -117.2366435)","(32.8641904, -117.2362763)",13900,13900,13900,13900,13900
GILMAN DR,VILLA LA JOLLA DR,INTERSTATE 5,"(32.8641904, -117.2362763)","(32.8488783, -117.2349414)",15700,15700,15700,15700,18000
GIRARD AVE,PROSPECT ST,TORREY PINES RD,"(32.8480062, -117.2741789)","(32.8419051, -117.2729664)",5100,5100,3900,3900,5300
GIRARD AVE,TORREY PINES RD,PEARL ST,"(32.8419051, -117.2729664)","(32.8405176, -117.2725154)",26000,25600,25600,25600,25800
GIRARD AVE,PEARL ST,GENTER ST,"(32.8405176, -117.2725154)","(32.8375939, -117.271544)",8800,8800,8800,6600,7100
GOLD COAST DR,PARKDALE AVE,CAMINO RUIZ,"(32.9058401, -117.154795)","(32.9053333, -117.1460647)",6900,6900,6000,6000,6200
GOLD COAST DR,CAMINO RUIZ,WESTONHILL DR,"(32.9053333, -117.1460647)","(32.9057327, -117.135533)",5500,5500,5500,5500,5500
GOLD COAST DR,WESTONHILL DR,GREENFORD DR,"(32.9057327, -117.135533)","(32.9054697, -117.1312814)",10300,10300,8100,8100,8100
GOLD COAST DR,GREENFORD DR,BLACK MOUNTAIN RD,"(32.9054697, -117.1312814)","(32.9053495, -117.1241885)",15700,15700,7800,7600,7900
GOLDFINCH ST,LEWIS ST,FORT STOCKTON DR,"(32.7518166, -117.1714609)","(32.7508739, -117.1713901)",2000,2000,3900,3900,3900
GOLDFINCH ST,FORT STOCKTON DR,WASHINGTON ST,"(32.7508739, -117.1713901)","(32.7497883, -117.1713933)",9200,9200,9200,9200,9200
GOLDFINCH ST,WASHINGTON ST,UNIVERSITY AVE,"(32.7497883, -117.1713933)","(32.7489429, -117.1713706)",6300,6300,6300,4700,4700
GOLDFINCH ST,UNIVERSITY AVE,SUTTER ST,"(32.7489429, -117.1713706)","(32.7463006, -117.1713296)",7300,6600,6600,6600,6700
GOLFCREST DR,WANDEMERE DR,JACKSON DR,"(32.7967151, -117.0421328)","(32.8012314, -117.0398628)",6000,6000,6600,6600,6600
GOLFCREST DR,JACKSON DR,NAVAJO RD,"(32.8012314, -117.0398628)","(32.8041453, -117.0380546)",6400,6400,6400,7100,7100
GOLFCREST DR,NAVAJO RD,MISSION GORGE RD,"(32.8041453, -117.0380546)","(32.818009, -117.0471055)",4400,4400,5400,5400,5400
GOVERNOR DR,STRESEMANN ST,REGENTS RD,"(32.8499712, -117.2225747)","(32.8514574, -117.2167425)",4400,4400,5500,5500,5500
